cell,vdd,temp,proc,cload,drive,wp,wn,tpHL_ps,tpLH_ps,tpd_ps,slew_HL_v_per_ps,power_uw,source
dff,1.62,-40,tt,1e-15,1,8.4e-07,4.2e-07,5.758174983103046,6.00383445622537,5.881004719664208,0.22507131231736094,0.6428331940132119,synthetic
dff,1.62,-40,tt,1e-15,2,1.68e-06,8.4e-07,2.9076799373290303,3.0709199628867068,2.9892999501078688,0.4457161819503747,1.3745691368796575,synthetic
dff,1.62,-40,tt,1e-15,4,3.36e-06,1.68e-06,1.4293341342533414,1.570179543532807,1.4997568388930742,0.906715909836581,2.562767702872237,synthetic
dff,1.62,-40,tt,1e-15,8,6.72e-06,3.36e-06,0.7256368461293786,0.7572244817670428,0.7414306639482107,1.7860173541531101,5.1884683760301895,synthetic
dff,1.62,-40,tt,5e-15,1,8.4e-07,4.2e-07,28.444694875403044,31.468568758927734,29.956631817165388,0.045562098861559215,3.1666984153856843,synthetic
dff,1.62,-40,tt,5e-15,2,1.68e-06,8.4e-07,14.28324293549846,15.574503571753272,14.928873253625866,0.09073569677786707,6.511456775265624,synthetic
dff,1.62,-40,tt,5e-15,4,3.36e-06,1.68e-06,7.051866779460375,7.650762886727387,7.3513148330938805,0.18378112357068283,13.731885693796935,synthetic
dff,1.62,-40,tt,5e-15,8,6.72e-06,3.36e-06,3.5828151878029866,3.8126440337892533,3.69772961079612,0.36172672383772014,23.516437417729925,synthetic
dff,1.62,-40,tt,1e-14,1,8.4e-07,4.2e-07,55.75826619352449,62.7805848740881,59.2694255338063,0.023243190444657544,6.804321978655648,synthetic
dff,1.62,-40,tt,1e-14,2,1.68e-06,8.4e-07,28.604820173708497,31.639689909384632,30.122255041546566,0.04530704937593667,13.235876843342426,synthetic
dff,1.62,-40,tt,1e-14,4,3.36e-06,1.68e-06,14.694921729340944,15.49602275426028,15.095472241800612,0.0881937327649941,25.924512896802568,synthetic
dff,1.62,-40,tt,1e-14,8,6.72e-06,3.36e-06,6.9418374965639575,7.657313772151895,7.299575634357926,0.1866940850519029,53.694401924951514,synthetic
dff,1.62,-40,tt,2e-14,1,8.4e-07,4.2e-07,116.94990961890443,126.83350259385752,121.89170610638098,0.011081667392674134,12.883118535836415,synthetic
dff,1.62,-40,tt,2e-14,2,1.68e-06,8.4e-07,58.91699788424319,63.31195095434492,61.114474419294055,0.021997047482736787,25.277353693598492,synthetic
dff,1.62,-40,tt,2e-14,4,3.36e-06,1.68e-06,28.904083397898,30.695815976320482,29.79994968710924,0.04483795532136645,52.37718599439688,synthetic
dff,1.62,-40,tt,2e-14,8,6.72e-06,3.36e-06,14.208037395712473,15.898282239514934,15.053159817613704,0.09121597613412048,100.459384056435,synthetic
dff,1.62,-40,tt,5e-14,1,8.4e-07,4.2e-07,283.6118347535048,308.98757879341656,296.2997067734607,0.00456962595064621,33.13365573206086,synthetic
dff,1.62,-40,tt,5e-14,2,1.68e-06,8.4e-07,147.72764422942754,152.42750751322473,150.07757587132613,0.008772901014973576,64.15629866407639,synthetic
dff,1.62,-40,tt,5e-14,4,3.36e-06,1.68e-06,70.89763146268501,77.90916388038794,74.40339767153648,0.018279877243601764,135.469120155409,synthetic
dff,1.62,-40,tt,5e-14,8,6.72e-06,3.36e-06,36.05897124693665,39.415991360469924,37.73748130370329,0.03594112519530353,278.7040300861043,synthetic
dff,1.62,-40,ff,1e-15,1,8.4e-07,4.2e-07,4.88611971369279,5.185924736813433,5.036022225253111,0.2652411475650318,0.6847293675681722,synthetic
dff,1.62,-40,ff,1e-15,2,1.68e-06,8.4e-07,2.416135557738705,2.5875013663671034,2.5018184620529045,0.5363937448993734,1.2049258375399408,synthetic
dff,1.62,-40,ff,1e-15,4,3.36e-06,1.68e-06,1.214221345931181,1.344873666087503,1.279547506009342,1.0673506970890085,2.6690780176491713,synthetic
dff,1.62,-40,ff,1e-15,8,6.72e-06,3.36e-06,0.6203231714898304,0.6572109624194488,0.6387670669546396,2.0892335794701924,5.3889768698830585,synthetic
dff,1.62,-40,ff,5e-15,1,8.4e-07,4.2e-07,24.27509411106143,26.499282098433124,25.387188104747278,0.053388052547629544,3.273178974087795,synthetic
dff,1.62,-40,ff,5e-15,2,1.68e-06,8.4e-07,12.015711195802199,13.072306879540534,12.544009037671366,0.1078587841269662,6.50378237554713,synthetic
dff,1.62,-40,ff,5e-15,4,3.36e-06,1.68e-06,5.935379931495831,6.659899235946499,6.297639583721165,0.21835164976092494,12.619321327943913,synthetic
dff,1.62,-40,ff,5e-15,8,6.72e-06,3.36e-06,2.9392989136334644,3.203938640554962,3.071618777094213,0.44092147075913685,26.527827795779324,synthetic
dff,1.62,-40,ff,1e-14,1,8.4e-07,4.2e-07,47.513962371004645,51.23063121831893,49.37229679466179,0.027276192835285047,6.536893410869042,synthetic
dff,1.62,-40,ff,1e-14,2,1.68e-06,8.4e-07,23.96382495732867,26.18615560373726,25.074990280532965,0.05408151671562159,13.535659567679456,synthetic
dff,1.62,-40,ff,1e-14,4,3.36e-06,1.68e-06,12.067977841090226,13.053049605393221,12.560513723241723,0.10739164564814274,26.516881887952387,synthetic
dff,1.62,-40,ff,1e-14,8,6.72e-06,3.36e-06,6.099372613867214,6.476396021274867,6.28788431757104,0.21248087009038974,53.123904105297214,synthetic
dff,1.62,-40,ff,2e-14,1,8.4e-07,4.2e-07,99.46777026501663,102.83866671159508,101.15321848830585,0.01302934605397313,13.520611627582307,synthetic
dff,1.62,-40,ff,2e-14,2,1.68e-06,8.4e-07,47.70073226706893,52.08035367146576,49.890542969267344,0.02716939422950363,28.186037057955296,synthetic
dff,1.62,-40,ff,2e-14,4,3.36e-06,1.68e-06,24.130989116994716,26.107257520865936,25.119123318930328,0.053706874331449064,54.42637141057084,synthetic
dff,1.62,-40,ff,2e-14,8,6.72e-06,3.36e-06,12.35415091199823,13.17299018422502,12.763570548111625,0.10490401236246336,107.29888174504231,synthetic
dff,1.62,-40,ff,5e-14,1,8.4e-07,4.2e-07,241.67368523624282,266.0117586970436,253.8427219666432,0.005362602878063136,33.23287318003859,synthetic
dff,1.62,-40,ff,5e-14,2,1.68e-06,8.4e-07,120.69672538194922,132.02271270369098,126.3597190428201,0.010737656683714994,68.52794941545095,synthetic
dff,1.62,-40,ff,5e-14,4,3.36e-06,1.68e-06,61.68834461990644,64.60571844134915,63.1470315306278,0.021008830889940745,132.23078637856636,synthetic
dff,1.62,-40,ff,5e-14,8,6.72e-06,3.36e-06,29.841859893234492,33.53670315856767,31.68928152590108,0.0434289285130589,279.1300481172048,synthetic
dff,1.62,-40,ss,1e-15,1,8.4e-07,4.2e-07,6.719927761483231,7.622156187036424,7.171041974259827,0.19285921605114775,0.6755414036174384,synthetic
dff,1.62,-40,ss,1e-15,2,1.68e-06,8.4e-07,3.404508470778981,3.757887896053408,3.581198183416195,0.38067169200006845,1.3488569663085597,synthetic
dff,1.62,-40,ss,1e-15,4,3.36e-06,1.68e-06,1.6633406313731511,1.827965971137276,1.7456533012552136,0.7791548980139461,2.6008274508203733,synthetic
dff,1.62,-40,ss,1e-15,8,6.72e-06,3.36e-06,0.886305295253471,0.9185475256669484,0.9024264104602098,1.4622500925365252,5.210257723616807,synthetic
dff,1.62,-40,ss,5e-15,1,8.4e-07,4.2e-07,35.4898408970519,36.41800255787855,35.95392172746523,0.03651749253425528,3.280966172948883,synthetic
