cell,vdd,temp,proc,cload,drive,wp,wn,tpHL_ps,tpLH_ps,tpd_ps,slew_HL_v_per_ps,power_uw,source
inv,1.62,-40,tt,1e-15,1,8.4e-07,4.2e-07,2.0314584006632836,2.2472455389364585,2.139351969799871,0.6379653157440233,0.6708711308870586,synthetic
inv,1.62,-40,tt,1e-15,2,1.68e-06,8.4e-07,1.012757730810732,1.1412522524081523,1.0770049916094422,1.2796742602621531,1.2609384015328582,synthetic
inv,1.62,-40,tt,1e-15,4,3.36e-06,1.68e-06,0.5106767399905187,0.556748921422341,0.5337128307064298,2.5378089474450354,2.623077211267373,synthetic
inv,1.62,-40,tt,1e-15,8,6.72e-06,3.36e-06,0.2558696057798101,0.2723803933155687,0.2641249995476894,5.065079910723275,5.3712742293203855,synthetic
inv,1.62,-40,tt,5e-15,1,8.4e-07,4.2e-07,10.355037043377049,10.969262860534593,10.662149951955822,0.1251564812922524,3.3265099319177356,synthetic
inv,1.62,-40,tt,5e-15,2,1.68e-06,8.4e-07,5.091167215256295,5.474978649271664,5.28307293226398,0.25455852169152493,6.372263137678829,synthetic
inv,1.62,-40,tt,5e-15,4,3.36e-06,1.68e-06,2.5793979785992307,2.797140108296235,2.6882690434477325,0.5024428222215661,13.049227081966775,synthetic
inv,1.62,-40,tt,5e-15,8,6.72e-06,3.36e-06,1.2859281992496536,1.3596413152600821,1.3227847572548679,1.0078323196864518,26.122335848177592,synthetic
inv,1.62,-40,tt,1e-14,1,8.4e-07,4.2e-07,20.306291904399643,22.15423316393698,21.23026253416831,0.06382258297583143,6.665774416992467,synthetic
inv,1.62,-40,tt,1e-14,2,1.68e-06,8.4e-07,10.312639127270355,11.080372348712647,10.696505737991501,0.12567103182859435,13.291596996044087,synthetic
inv,1.62,-40,tt,1e-14,4,3.36e-06,1.68e-06,5.20476413164749,5.684606772594379,5.444685452120934,0.24900263820212173,25.840701054547402,synthetic
inv,1.62,-40,tt,1e-14,8,6.72e-06,3.36e-06,2.553025562732436,2.732016710358516,2.6425211365454757,0.5076329900171174,54.265724931010034,synthetic
inv,1.62,-40,tt,2e-14,1,8.4e-07,4.2e-07,40.54128393055737,44.66711875445634,42.604201342506855,0.03196741381501142,12.797434724630989,synthetic
inv,1.62,-40,tt,2e-14,2,1.68e-06,8.4e-07,20.751960495960507,22.150793475257757,21.45137698560913,0.062451930758651665,26.67163621852205,synthetic
inv,1.62,-40,tt,2e-14,4,3.36e-06,1.68e-06,10.188353077240539,10.986311353766004,10.58733221550327,0.12720407215716703,52.67173814250536,synthetic
inv,1.62,-40,tt,2e-14,8,6.72e-06,3.36e-06,5.1723001165925435,5.506929008344873,5.339614562468708,0.250565506793096,105.68016498984515,synthetic
inv,1.62,-40,tt,5e-14,1,8.4e-07,4.2e-07,103.0928955086352,111.53317303690879,107.313034272772,0.012571186342238739,33.08953685622075,synthetic
inv,1.62,-40,tt,5e-14,2,1.68e-06,8.4e-07,50.73701976668299,56.602664320758784,53.66984204372089,0.025543479021032933,64.98079114484392,synthetic
inv,1.62,-40,tt,5e-14,4,3.36e-06,1.68e-06,25.29913651118393,27.760982314165005,26.53005941267447,0.05122704482135509,130.13687501382105,synthetic
inv,1.62,-40,tt,5e-14,8,6.72e-06,3.36e-06,12.869883150991896,14.18698044962338,13.528431800307638,0.1007002149743773,270.06344914136963,synthetic
