cell,proc,n,mae_ps,mape_pct,r2
dff,ff,121,1.418,2.426,0.99908
dff,fs,114,2.164,2.231,0.99779
dff,sf,122,1.304,1.981,0.99855
dff,ss,125,2.48,2.761,0.99802
dff,tt,117,1.957,2.17,0.99897
inv,ff,120,0.339,1.724,0.99968
inv,fs,125,0.339,1.623,0.99969
inv,sf,115,0.283,1.566,0.99967
inv,ss,117,0.552,1.93,0.99951
inv,tt,123,0.376,1.657,0.99974
nand2,ff,119,0.378,1.539,0.99976
nand2,fs,123,0.586,1.857,0.99931
nand2,sf,120,0.402,1.716,0.99976
nand2,ss,119,0.718,1.972,0.99948
nand2,tt,120,0.778,1.683,0.99867
