WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 259-505-676
127.0.0.1 - - [13/Jun/2026 20:17:47] "GET /api/cells HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:17:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:17:54] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:17:54] "GET /static/js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:17:55] "GET /api/model_metrics HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:17:55] "GET /api/dataset_stats HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:17:55] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:17:55] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [13/Jun/2026 20:18:26] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:28] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:29] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:31] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:31] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:31] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:32] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:32] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:32] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:33] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:33] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:33] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:33] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:34] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:48] "POST /api/sweep HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:51] "POST /api/sweep HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:18:51] "POST /api/sweep HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:19:02] "GET /api/corner_table?cell=inv&drive=2&cload_ff=10 HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:37:00] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:37:01] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:37:05] "POST /api/predict HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 20:37:07] "POST /api/predict HTTP/1.1" 200 -
